article,titre,contenu,motifs_couverts,exclusions,delais,montant_max
Art. 1.1,Objet du contrat,"Le present contrat d'assurance annulation couvre le remboursement du montant du dossard en cas d'impossibilite de participer a un evenement sportif pour un motif couvert par les presentes conditions generales.",,,,
Art. 1.2,Conditions de souscription,"L'assurance doit etre souscrite au moment de l'inscription a l'evenement sportif ou dans les 48 heures suivant l'inscription. Toute souscription posterieure a la survenance du sinistre est nulle.",,,48 heures apres inscription,
Art. 1.3,Periode de couverture,"La couverture court de la date de souscription jusqu'a la date de l'evenement sportif. Elle prend fin automatiquement a la date de l'evenement ou a la date de remboursement si celui-ci intervient avant.",,,,
Art. 2.1,Motifs d'annulation couverts — Blessure,"Toute blessure physique survenue apres la date de souscription, attestee par un certificat medical mentionnant le diagnostic, la date de survenue et la duree d'indisponibilite. Inclut : fractures, entorses, luxations, dechirures musculaires, tendinites aigues, commotions cerebrales.",Blessure,Blessures preexistantes a la souscription,,500
Art. 2.2,Motifs d'annulation couverts — Maladie,"Toute maladie aigue ou hospitalisation survenue apres la date de souscription, attestee par un certificat medical. Inclut : maladies aigues, hospitalisations, interventions chirurgicales, maladies contagieuses, epidemies (Covid).",Maladie,Maladies chroniques preexistantes non diagnostiquees apres souscription,,500
Art. 2.3,Motifs d'annulation couverts — Professionnel,"Mutation professionnelle, deplacement obligatoire, convocation professionnelle urgente ou licenciement, atteste par une attestation employeur sur papier a en-tete ou document officiel.",Professionnel,Demission volontaire; conges refuses par choix,,500
Art. 2.4,Motifs d'annulation couverts — Familial/Personnel,"Deces d'un proche (1er ou 2eme degre), hospitalisation d'un proche, grossesse/accouchement, convocation officielle (militaire, judiciaire). Atteste par un document officiel (acte de deces, bulletin d'hospitalisation, certificat medical, convocation).",Familial,Evenements familiaux ne relevant pas du 1er ou 2eme degre de parente,,500
Art. 3.1,Justificatifs requis,"Tout motif d'annulation doit etre accompagne d'un justificatif original ou copie certifiee : certificat medical (blessure/maladie), attestation employeur (professionnel), document officiel (familial). Le justificatif doit mentionner la date de survenance et la duree d'indisponibilite.",,,15 jours pour fournir,
Art. 3.2,Exclusion — Pathologies preexistantes,"Les pathologies, blessures ou conditions medicales diagnostiquees avant la date de souscription de l'assurance ne sont pas couvertes, meme si elles s'aggravent apres la souscription.",,Pathologies anterieures a la souscription,,
Art. 4.1,Qualite des justificatifs,"Le justificatif doit etre emis par un professionnel qualifie : medecin (pas kinesitherapeute) pour les motifs medicaux, employeur ou autorite pour les motifs professionnels/familiaux. Les documents doivent etre lisibles et non modifies.",,Documents illisibles; attestations de non-medecins pour motifs medicaux,,
Art. 4.2,Delai de transmission des justificatifs,"Les justificatifs complementaires demandes doivent etre transmis dans un delai de 15 jours ouvres a compter de la demande. Passe ce delai, le dossier est cloture.",,,15 jours ouvres,
Art. 5.1,Exclusions generales,"Sont exclus de la garantie : changement d'avis, indisponibilite de convenance personnelle, conflit d'agenda, conditions meteorologiques, non-obtention de conges, motifs non documentes.",,Changement d'avis; convenance personnelle; meteo,,
Art. 5.2,Exclusion — Fraude,"Tout document falsifie, retouche ou ne correspondant pas a la realite entraine le rejet immediat du dossier et peut donner lieu a des poursuites. L'assure s'engage a fournir des informations exactes.",,Documents falsifies; fausses declarations,,
Art. 6.1,Procedure de declaration,"La demande de remboursement doit etre transmise par email a l'adresse dediee ou via le formulaire en ligne du partenaire. Elle doit mentionner le nom de l'assure, la reference de l'evenement, le motif et etre accompagnee du justificatif.",,,5 jours ouvres,
Art. 6.2,Delai de declaration,"La demande de remboursement doit etre effectuee dans un delai de 5 jours ouvres a compter de la survenance de l'evenement empechant la participation. Passe ce delai, la demande est irrecevable.",,,5 jours ouvres,
Art. 7.1,Montant du remboursement,"Le remboursement porte sur le montant du dossard tel que facture au moment de l'inscription, dans la limite de 500 EUR par evenement. Les frais annexes (transport, hebergement) ne sont pas couverts.",,,10 jours ouvres pour virement,500
Art. 8.1,Droit de reclamation,"L'assure dispose d'un droit de reclamation dans un delai de 30 jours a compter de la notification de la decision. La reclamation doit etre motivee et peut etre accompagnee de nouveaux elements.",,,30 jours,
Art. 8.2,Mediation,"En cas de desaccord persistant, l'assure peut saisir le Mediateur de l'Assurance (TSA 50110, 75441 Paris Cedex 09) dans un delai de 2 mois a compter de la cloture de la reclamation.",,,2 mois apres cloture,
